magnitude,date_time,cdi,mmi,alert,tsunami,sig,magType,depth,latitude,longitude
6.6,28-04-2012 10:08,4,5,,0,675,mww,134.7,-18.685,-174.705
6.7,21-04-2012 01:16,0,7,,0,691,mww,16,-1.617,134.276
6.8,17-04-2012 07:13,6,5,,0,732,mww,198,-5.462,147.117
6.7,17-04-2012 03:50,0,7,,0,691,mww,29,-32.625,-71.365
7,12-04-2012 07:15,7,7,,0,1000,mww,13,28.696,-113.104
6.5,11-04-2012 22:55,7,6,,0,1171,mwb,20,18.229,-102.689
8.2,11-04-2012 10:43,9,6,green,0,1213,mwc,25.1,0.802,92.463
8.6,11-04-2012 08:38,9,7,yellow,0,2048,mw,20,2.327,93.063
7.1,25-03-2012 22:37,7,7,,0,1496,mww,40.7,-35.2,-72.217
6.6,21-03-2012 22:15,6,6,,0,709,mww,118,-6.242,145.955
7.4,20-03-2012 18:02,9,8,,0,1752,mww,20,16.493,-98.231
6.7,26-02-2012 06:17,7,7,,0,833,mww,12,51.708,95.991
6.7,06-02-2012 03:49,9,7,,0,1551,mww,11,9.999,123.206
7.1,02-02-2012 13:34,5,5,,0,793,mww,23,-17.827,167.133
7.2,10-01-2012 18:36,4,4,,0,838,mww,19,2.433,93.21
6.6,27-12-2011 15:21,0,7,,0,670,mww,15,51.842,95.911
7.1,14-12-2011 05:04,6,6,,0,834,mww,135,-7.551,146.809
6.5,11-12-2011 01:47,8,7,,0,1400,mww,59,17.986,-99.789
6.9,28-10-2011 18:54,6,7,,0,847,mww,24,-14.438,-75.966
7.1,23-10-2011 10:41,9,9,,0,1096,mww,18,38.721,43.508
6.5,14-10-2011 03:35,3,6,,0,655,mww,37,-6.57,147.881
6.9,18-09-2011 12:40,8,8,,0,1562,mww,50,27.73,88.155
6.7,16-09-2011 19:26,5,5,,0,712,mwc,30,40.273,142.779
6.7,05-09-2011 17:55,5,6,,0,915,mww,91,2.965,97.893
7,03-09-2011 22:55,7,5,,0,761,mww,185.1,-20.671,169.716
7,24-08-2011 17:46,6,6,,0,913,mww,147,-7.641,-74.525
7.1,20-08-2011 18:19,5,6,,0,787,mww,28,-18.311,168.218
6.5,20-08-2011 17:13,0,5,,0,650,mwc,35,-18.308,168.156
7.2,20-08-2011 16:55,8,6,,0,813,mww,32,-18.365,168.143
6.6,31-07-2011 23:38,3,6,,0,674,mww,10,-3.518,144.828
7.6,06-07-2011 19:03,3,7,,0,893,mww,17,-29.539,-176.34
6.7,22-06-2011 21:50,6,6,,0,749,mww,33,39.955,142.205
6.8,10-05-2011 08:55,4,5,,0,734,mww,11,-20.244,168.226
6.8,23-04-2011 04:16,5,6,,0,719,mww,79,-10.375,161.2
6.6,11-04-2011 08:16,7,7,,0,822,mww,11,37.001,140.401
7.1,07-04-2011 14:32,8,8,,0,1114,mww,42,38.276,141.588
6.6,07-04-2011 13:11,7,6,,0,897,mww,166.2,17.208,-94.338
6.9,24-03-2011 13:55,7,9,,0,1154,mww,8,20.687,99.822
6.6,11-03-2011 11:36,6,5,,0,673,ms,25.7,39.241,142.463
6.5,11-03-2011 08:19,0,4,,0,650,mb,6.8,36.166,141.562
7.7,11-03-2011 06:25,7,4,,0,931,mwc,18.6,38.058,144.59
7.9,11-03-2011 06:15,8,7,,0,1140,mwc,42.6,36.281,141.111
9.1,11-03-2011 05:46,9,8,,0,2184,mww,29,38.297,142.373
7.3,09-03-2011 02:45,5,5,,0,972,mww,32,38.435,142.842
6.7,14-02-2011 03:40,5,6,,0,731,mww,21,-35.38,-72.834
6.9,11-02-2011 20:05,7,7,,0,988,mww,26,-36.422,-72.96
7.2,18-01-2011 20:23,7,7,,0,1449,mww,68,28.777,63.951
7,13-01-2011 16:16,2,5,,0,755,mww,9,-20.628,168.471
7.2,02-01-2011 20:20,8,7,,0,1054,mww,24,-38.355,-73.326
7.3,25-12-2010 13:16,0,5,,0,820,mwc,16,-19.702,167.947
6.7,20-12-2010 18:41,3,7,,0,708,mwc,12,28.412,59.18
6.6,02-12-2010 03:12,0,6,,0,670,mwb,33,-6.001,149.977
7.8,25-10-2010 14:42,4,7,,0,946,mwc,20.1,-3.487,100.082
6.7,21-10-2010 17:53,5,5,,0,776,mwc,13,24.696,-109.156
7,29-09-2010 17:11,8,5,,0,772,mwc,26,-4.963,133.76
7,03-09-2010 16:35,8,8,,0,1245,mwc,12,-43.522,171.83
7.1,12-08-2010 11:54,6,5,,0,945,mwc,206.7,-1.266,-77.306
7.3,10-08-2010 05:23,7,7,,0,850,mwc,25,-17.541,168.069
7,04-08-2010 22:01,4,6,,0,757,mww,44,-5.746,150.765
6.5,04-08-2010 07:15,5,4,,0,659,mwc,220,-5.486,146.822
7.6,23-07-2010 22:51,5,3,,0,902,mwc,578,6.497,123.48
7.3,18-07-2010 13:34,8,7,,0,831,mwc,35,-5.931,150.59
6.9,18-07-2010 13:04,4,7,,0,737,mwc,28,-5.966,150.428
6.6,14-07-2010 08:32,6,7,,0,753,mwc,22,-38.067,-73.31
6.7,26-06-2010 05:30,5,6,,0,696,mwc,35,-10.627,161.447
6.6,16-06-2010 03:58,0,7,,0,670,mwc,10.5,-2.329,136.484
7,16-06-2010 03:16,3,7,,0,755,mwc,18,-2.174,136.543
7.5,12-06-2010 19:26,6,5,,0,1144,mwc,35,7.881,91.936
7.2,27-05-2010 17:14,5,6,,0,804,mwc,31,-13.698,166.643
7.2,09-05-2010 05:59,5,6,,0,918,mwc,38,3.748,96.018
6.9,13-04-2010 23:49,6,9,,0,773,mwc,17,33.165,96.548
6.9,11-04-2010 09:40,4,5,,0,740,mwc,21,-10.878,161.116
7.8,06-04-2010 22:15,0,7,,0,936,mwc,31,2.383,97.048
7.2,04-04-2010 22:40,9,9,red,0,2910,mw,9.987,32.2862,-115.295
6.6,30-03-2010 16:54,5,6,,0,701,mwc,34,13.667,92.831
6.7,16-03-2010 02:21,5,6,,0,856,mwc,18,-36.217,-73.257
6.5,14-03-2010 08:08,6,5,,0,810,mwc,32,37.745,141.59
7,11-03-2010 14:55,7,7,,0,874,mwc,18,-34.326,-71.799
6.9,11-03-2010 14:39,7,7,,0,1280,mwc,11,-34.29,-71.891
6.8,05-03-2010 16:07,4,6,,0,717,mwc,26,-3.762,100.991
6.6,05-03-2010 11:47,7,7,,0,736,mwb,18,-36.665,-73.374
6.5,04-03-2010 14:02,0,4,,0,650,mwb,176,-13.571,167.227
7.4,27-02-2010 08:01,0,5,,0,842,mwc,35,-37.773,-75.048
8.8,27-02-2010 06:34,8,8,,0,1991,mww,22.9,-36.122,-72.898
7,26-02-2010 20:31,6,6,,0,1180,mwc,25,25.93,128.425
7,12-01-2010 21:53,9,9,,0,1623,mwc,13,18.443,-72.571
6.5,10-01-2010 00:27,7,7,,0,1360,mw,28.737,40.652,-124.692
6.8,05-01-2010 12:15,3,6,,0,713,mwc,15.4,-9.019,157.551
7.1,03-01-2010 22:36,5,7,,0,780,mwc,10,-8.783,157.354
6.6,03-01-2010 21:48,5,7,,0,672,mwc,10,-8.726,157.487
6.5,13-11-2009 03:05,6,7,,0,698,mwc,27,-19.394,-70.321
7.3,09-11-2009 10:44,0,4,,0,820,mwc,595,-17.239,178.331
6.6,08-11-2009 19:41,7,6,,0,677,mwc,18,-8.207,118.631
6.8,30-10-2009 07:03,0,6,,0,711,mwc,34,29.218,129.782
6.9,24-10-2009 14:40,4,6,,0,972,mwc,130,-6.133,130.385
6.8,08-10-2009 08:28,0,5,,0,711,mwc,35,-13.298,165.91
7.4,07-10-2009 23:13,0,7,,0,842,mwc,31.1,-13.093,166.497
7.8,07-10-2009 22:18,0,6,,0,936,mwc,35,-12.517,166.382
7.7,07-10-2009 22:03,4,7,,0,916,mww,45,-13.006,166.51
6.6,01-10-2009 01:52,7,7,,0,787,mwc,9,-2.482,101.524
7.6,30-09-2009 10:16,8,8,,0,1639,mwc,81,-0.72,99.867
8.1,29-09-2009 17:48,7,6,,0,1055,mwc,18,-15.489,-172.095
7,02-09-2009 07:55,7,7,,0,1175,mwc,46,-7.782,107.297
6.7,16-08-2009 07:38,5,6,,0,753,mwc,20,-1.479,99.49
6.6,12-08-2009 22:48,4,5,,0,703,mwc,53,32.821,140.395
7.5,10-08-2009 19:55,7,6,,0,1248,mwc,24,14.099,92.902
7.1,09-08-2009 10:55,5,4,,0,1005,mwc,292,33.167,137.944
6.9,03-08-2009 17:59,5,7,,0,1202,mwc,10,29.039,-112.903
7.8,15-07-2009 09:22,6,8,,0,1165,mwc,12,-45.762,166.562
6.7,23-06-2009 14:19,5,5,,0,693,mwc,64,-5.157,153.782
7.3,28-05-2009 08:24,7,8,,0,1560,mwc,19,16.731,-86.217
7.6,19-03-2009 18:17,7,5,,0,916,mwc,31,-23.043,-174.66
7.2,11-02-2009 17:34,3,7,,0,802,mwc,20,3.886,126.387
7.4,03-01-2009 22:33,7,7,,0,846,mwc,23,-0.691,133.305
6.6,03-01-2009 20:23,5,4,,0,765,mwc,204.8,36.419,70.743
7.7,03-01-2009 19:43,5,7,,0,918,mwc,17,-0.414,132.885
7.4,16-11-2008 17:02,9,7,,0,848,mww,30,1.271,122.091
6.7,16-10-2008 19:41,5,6,,0,731,mwc,24,14.423,-92.364
6.7,05-10-2008 15:52,0,6,,0,691,mwc,27.4,39.533,73.824
6.8,11-09-2008 00:20,0,6,,0,711,mwc,25,41.892,143.754
6.6,11-09-2008 00:00,0,6,,0,670,mwc,96,1.885,127.363
6.9,08-09-2008 18:52,0,6,,0,732,mwc,110,-13.501,166.967
6.7,25-08-2008 13:21,4,7,,0,692,mwc,12,30.901,83.52
6.8,23-07-2008 15:26,8,7,,0,1046,mwc,108,39.802,141.464
7,19-07-2008 02:39,5,5,,0,840,mwc,22,37.552,142.214
6.9,19-07-2008 02:39,5,5,,0,825,mww,25.5,37.55,142.714
6.6,27-06-2008 11:40,4,5,,0,680,mwc,17,11.005,91.824
6.9,13-06-2008 23:43,7,8,,0,888,mwc,7.8,39.03,140.881
7.9,12-05-2008 06:28,9,9,,0,1870,mwc,19,31.002,103.322
6.9,07-05-2008 16:45,5,5,,0,910,mwc,27,36.164,141.526
7.3,09-04-2008 12:46,0,6,,0,820,mwc,33,-20.071,168.892
7.2,20-03-2008 22:32,0,7,,0,798,mwc,10,35.49,81.467
6.9,03-03-2008 14:11,4,5,,0,740,mwc,24,13.351,125.63
6.7,25-02-2008 21:02,5,6,,0,696,mwc,25,-2.245,99.808
6.6,25-02-2008 18:06,4,6,,0,674,mwc,25,-2.332,99.891
7.2,25-02-2008 08:36,4,7,,0,832,mwc,25,-2.486,99.972
6.5,24-02-2008 14:46,4,6,,0,654,mwc,22,-2.405,99.931
7.4,20-02-2008 08:08,5,7,,0,914,mwc,26,2.768,95.964
6.5,14-02-2008 12:08,8,5,,0,692,mwc,28,36.345,21.863
6.9,14-02-2008 10:09,6,6,,0,941,mwc,29,36.501,21.67
6.5,12-02-2008 12:50,7,6,,0,723,mwc,83,16.357,-94.304
6.6,20-12-2007 07:55,7,6,,0,808,mwc,20,-39.011,178.291
6.7,16-12-2007 08:09,5,7,,0,704,mwb,45,-22.954,-70.182
7.4,29-11-2007 19:00,7,7,,0,1542,mwb,156,14.944,-61.274
6.6,27-11-2007 11:49,3,6,,0,672,mwc,16,-10.95,162.149
6.5,25-11-2007 19:53,5,7,,0,653,mwc,18,-8.224,118.467
6.5,25-11-2007 16:02,7,7,,0,657,mwc,20,-8.292,118.37
6.8,22-11-2007 08:48,6,6,,0,722,mwc,53,-5.757,147.098
6.8,16-11-2007 03:13,7,6,,0,790,mwc,122.9,-2.312,-77.838
6.8,15-11-2007 15:05,6,7,,0,716,mwc,26,-22.925,-70.237
7.7,14-11-2007 15:40,8,7,,0,995,mwc,40,-22.247,-69.89
6.8,24-10-2007 21:02,3,5,,0,713,mwc,21,-3.899,101.02
6.8,15-10-2007 12:29,4,7,,0,744,mwc,18,-44.796,167.553
6.8,26-09-2007 12:36,4,5,,0,713,mwc,40,-4.99,153.5
6.7,20-09-2007 08:31,3,5,,0,696,mwc,30,-1.999,100.141
7,13-09-2007 03:35,4,7,,0,768,mwc,22,-2.13,99.627
6.5,13-09-2007 02:30,0,5,,0,650,mwc,28.9,-1.689,99.668
7.9,12-09-2007 23:49,8,7,,0,1133,mwc,35,-2.625,100.841
7.8,12-09-2007 23:49,7,8,,0,1152,mww,40.5,-2.52,100.139
8.4,12-09-2007 11:10,0,6,,0,1086,mww,34,-4.438,101.367
6.8,10-09-2007 01:49,5,6,,0,747,mwc,15,2.966,-77.963
7.2,02-09-2007 01:05,0,5,,0,798,mwc,35,-11.61,165.762
6.5,16-08-2007 08:39,5,6,,0,675,mwc,15,-9.834,159.465
8,15-08-2007 23:40,9,8,,0,1385,mwc,39,-13.386,-76.603
7.5,08-08-2007 17:05,0,5,,0,865,mwc,280,-5.859,107.419
7.2,01-08-2007 17:08,7,7,,0,803,mwb,120,-15.595,167.68
6.9,26-07-2007 05:40,3,5,,0,734,mwb,25,2.872,127.464
6.8,16-07-2007 14:17,5,4,,0,779,mwb,350.4,36.808,134.85
6.6,16-07-2007 01:13,8,8,,0,831,mwc,12,37.535,138.446
6.7,13-06-2007 19:29,6,6,,0,972,mwc,23,13.554,-90.618
6.9,01-04-2007 21:11,0,7,,0,732,mwc,10,-7.306,155.741
6.6,01-04-2007 20:47,0,7,,0,670,mb,10,-7.169,155.777
8.1,01-04-2007 20:39,9,8,,0,1025,mwc,24,-8.466,157.043
6.7,25-03-2007 00:41,7,8,,0,782,mwc,8,37.336,136.588
7.1,25-03-2007 00:40,3,6,,0,779,mwb,34,-20.617,169.357
6.7,20-02-2007 08:04,0,6,,0,691,mwc,12,-1.034,126.976
7.5,21-01-2007 11:27,6,5,,0,874,mwc,22,1.065,126.282
8.1,13-01-2007 04:23,4,5,,0,1034,mwc,10,46.243,154.524
6.9,26-12-2006 12:34,6,7,,0,798,mwc,10,21.974,120.493
7.1,26-12-2006 12:26,8,7,,0,1023,mwb,10,21.799,120.547
8.3,15-11-2006 11:14,4,7,,0,1064,mwc,10,46.592,153.266
6.6,07-11-2006 17:38,0,6,,0,670,mwc,11,-6.482,151.195
6.7,20-10-2006 10:48,5,6,,0,732,mwc,23,-13.457,-76.677
6.7,17-10-2006 01:25,5,6,,0,692,mwc,32,-5.881,150.982
6.7,15-10-2006 17:07,8,9,,0,1481,md,38.182,19.877,-155.935
6.9,28-09-2006 06:22,3,3,,0,737,mwc,28,-16.592,-172.033
6.8,01-09-2006 10:18,0,6,,0,711,mwb,38,-6.759,155.512
6.5,24-08-2006 21:50,0,6,,0,650,mwb,43,51.148,157.522
6.8,07-08-2006 22:18,5,5,,0,713,mwb,150,-15.798,167.789
7.7,17-07-2006 08:19,7,5,,0,947,mwc,20,-9.284,107.419
6.5,28-05-2006 03:12,0,6,,0,650,mwc,34,-5.724,151.133
6.6,22-05-2006 11:12,0,7,,0,670,mwc,19,60.772,165.743
6.8,16-05-2006 15:28,4,5,,0,719,mwb,12,0.093,97.05
8,03-05-2006 15:26,7,7,,0,1013,mwc,55,-20.187,-174.123
8,03-05-2006 15:26,8,9,,0,1026,mww,60.5,-19.99,-173.907
6.5,30-04-2006 21:40,7,7,,0,653,mwc,12,-27.211,-71.056
6.7,30-04-2006 19:17,6,7,,0,696,mwb,12,-27.017,-71.022
6.6,29-04-2006 16:58,0,8,,0,670,mwc,11,60.491,167.516
7.6,20-04-2006 23:25,0,8,,0,889,mwc,22,60.949,167.089
6.5,07-04-2006 08:30,3,5,,0,654,mwc,14,-16.527,176.989
6.7,14-03-2006 06:57,0,7,,0,691,mwb,30.1,-3.595,127.214
7,22-02-2006 22:19,5,9,,0,891,mwb,11,-21.324,33.583
6.7,08-01-2006 11:34,7,6,,0,934,mwb,66,36.311,23.212
6.6,04-01-2006 08:32,7,6,,0,703,mwc,14,28.164,-112.117
6.5,12-12-2005 21:47,6,5,,0,721,mwb,224.6,36.357,71.093
6.8,05-12-2005 12:19,5,7,,0,744,mwc,22,-6.224,29.83
6.5,02-12-2005 13:13,4,5,,0,683,mwc,29,38.089,142.122
6.5,19-11-2005 14:10,3,6,,0,651,mwb,21,2.164,96.786
6.8,17-11-2005 19:26,0,6,,0,711,mwb,147,-22.361,-67.895
7.6,08-10-2005 03:50,9,9,,0,1267,mwc,26,34.539,73.588
6.6,29-09-2005 15:50,0,6,,0,670,mwc,25,-5.437,151.84
7.5,26-09-2005 01:55,8,7,,0,1018,mwb,115,-5.678,-76.398
7.6,09-09-2005 07:26,5,7,,0,891,mwc,90,-4.539,153.474
7.2,16-08-2005 02:46,7,7,,0,1104,mwc,36,38.276,142.039
7.2,24-07-2005 15:42,4,5,,0,808,mwc,16,7.92,92.19
6.7,05-07-2005 01:52,3,6,,0,693,mwc,21,1.819,97.082
6.6,02-07-2005 02:16,6,5,,0,719,mwc,27,11.245,-86.172
7.2,15-06-2005 02:50,5,4,,0,1318,mwc,16,41.292,-125.953
7.8,13-06-2005 22:44,8,7,,0,1020,mwb,115.6,-19.987,-69.197
6.9,19-05-2005 01:54,5,7,,0,740,mwc,30,1.989,97.041
6.7,14-05-2005 05:05,6,5,,0,731,mwb,34,0.587,98.459
6.5,10-04-2005 11:14,3,6,,0,657,mwc,30,-1.714,99.779
6.7,10-04-2005 10:29,5,6,,0,717,mwc,19,-1.644,99.607
8.6,28-03-2005 16:09,0,8,,0,1138,mww,30,2.085,97.108
6.6,20-03-2005 01:53,8,7,,0,805,mwc,10,33.807,130.131
7.1,02-03-2005 10:42,0,5,,0,776,mwb,201.7,-6.527,129.933
6.8,26-02-2005 12:56,0,6,,0,711,mwb,36,2.908,95.592
6.5,19-02-2005 00:04,0,7,,0,650,mwb,10,-5.562,122.129
6.5,15-02-2005 14:42,3,5,,0,652,mwc,39.7,4.756,126.421
6.7,08-02-2005 14:48,0,4,,0,691,mwb,206.3,-14.252,167.259
7.1,05-02-2005 12:23,7,3,,0,782,mwc,525,5.293,123.337
6.6,19-01-2005 06:11,6,4,,0,676,mwc,27.8,34.064,141.491
6.6,26-12-2004 09:20,0,5,,0,670,mwc,16.1,8.879,92.375
7.2,26-12-2004 04:21,5,6,,0,802,mwc,39.2,6.91,92.958
9.1,26-12-2004 00:58,0,8,,0,1274,mw,30,3.295,95.982
8.1,23-12-2004 14:59,0,5,,0,1009,mwc,10,-49.312,161.345
6.8,14-12-2004 23:20,5,6,,0,858,mwb,10,18.958,-81.409
6.8,06-12-2004 14:15,4,7,,0,724,mwb,35,42.9,145.228
7,28-11-2004 18:32,4,7,,0,771,mwb,39,43.006,145.119
7.1,26-11-2004 02:25,0,7,,0,776,mwc,10,-3.609,135.404
7.1,22-11-2004 20:26,5,5,,0,782,mwc,10,-46.676,164.721
7.2,15-11-2004 09:06,8,8,,0,820,mwb,15,4.695,-77.508
7.5,11-11-2004 21:26,5,7,,0,870,mwc,10,-8.152,124.868
6.7,11-11-2004 17:34,0,6,,0,691,mwb,10,-11.128,162.208
6.7,02-11-2004 10:02,7,4,,0,703,mwb,10,49.277,-128.772
6.6,23-10-2004 08:56,0,8,,0,670,mwc,16,37.226,138.779
6.7,15-10-2004 04:08,5,6,,0,705,mwb,94,24.53,122.694
7,09-10-2004 21:26,0,6,,0,754,mwc,35,11.422,-86.665
6.5,08-10-2004 14:36,5,5,,0,665,mwb,105,13.925,120.534
6.8,08-10-2004 08:27,0,6,,0,711,mwb,36,-10.951,162.161
6.6,06-09-2004 23:29,0,4,,0,670,mwc,10,33.205,137.227
7.4,05-09-2004 14:57,0,5,,0,842,mwb,10,33.184,137.071
7.2,05-09-2004 10:07,0,5,,0,798,mwc,14,33.07,136.618
6.5,28-08-2004 13:41,0,7,,0,650,mwb,5,-35.173,-70.525
6.5,28-07-2004 03:56,0,7,,0,650,mwc,13.4,-0.443,133.091
6.9,10-06-2004 15:19,0,5,,0,732,mwb,188.6,55.682,160.003
6.6,03-05-2004 04:36,0,7,,0,670,mwb,21,-37.695,-73.406
6.7,23-04-2004 01:50,0,5,,0,691,mwb,65.8,-9.362,122.839
6.5,09-04-2004 15:23,0,4,,0,650,mwb,228.4,-13.174,167.198
6.6,05-04-2004 21:24,0,4,,0,670,mwb,187.1,36.512,71.029
6.7,08-02-2004 08:58,0,7,,0,691,mwc,25.7,-3.665,135.339
7.3,07-02-2004 02:42,0,7,,0,820,mwb,10,-4.003,135.023
7,05-02-2004 21:05,0,7,,0,754,mwc,16.6,-3.615,135.538
6.7,28-01-2004 22:15,0,6,,0,691,mwb,17.4,-3.12,127.4
7.3,27-12-2003 16:00,0,4,,0,820,mwc,10,-22.015,169.766
